"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-07","0.15","0.0","0.0",,"89","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-08","0.00","0.0","0.0",,"91","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-09","0.45","0.0","0.0",,"92","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-10","1.35","0.0","0.0",,"88","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-11","0.42","0.0","0.0",,"88","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-12","0.23","0.0","0.0",,"88","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-13","0.61","0.0","0.0",,"83","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-14","0.18","0.0","0.0",,"87","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-15","0.00","0.0","0.0",,"88","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-16","0.10","0.0","0.0",,"88","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-17","0.38","0.0","0.0",,"88","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-18","0.00","0.0","0.0",,"91","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-19","0.49","0.0","0.0",,"91","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-20","1.94","0.0","0.0",,"88","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-21","0.17","0.0","0.0",,"93","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-22","0.03","0.0","0.0",,"93","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-23","0.86","0.0","0.0",,"94","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-24","1.29","0.0","0.0",,"93","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-25","2.23","0.0","0.0",,"92","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-26","0.14","0.0","0.0",,"92","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-27","0.00","0.0","0.0",,"92","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-28","0.20","0.0","0.0",,"91","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-29","0.00","0.0","0.0",,"91","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-06-30","0.40","0.0","0.0",,"86","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-01","1.84","0.0","0.0",,"88","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-02","0.31","0.0","0.0",,"90","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-03","0.00","0.0","0.0",,"92","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-04","0.01","0.0","0.0",,"92","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-05","0.01","0.0","0.0",,"91","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-06","0.00","0.0","0.0",,"91","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-07","0.00","0.0","0.0",,"91","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-08","0.00","0.0","0.0",,"90","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-09","0.00","0.0","0.0",,"92","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-10","0.00","0.0","0.0",,"93","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-11","0.01","0.0","0.0",,"93","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-12","1.56","0.0","0.0",,"90","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-13","0.14","0.0","0.0",,"89","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-14","0.06","0.0","0.0",,"90","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-15","0.01","0.0","0.0",,"90","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-16","1.08","0.0","0.0",,"91","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-17","0.01","0.0","0.0",,"90","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-18","0.05","0.0","0.0",,"89","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-19","0.00","0.0","0.0",,"89","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-20","0.00","0.0","0.0",,"89","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-21","0.00","0.0","0.0",,"91","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-22","0.00","0.0","0.0",,"91","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-23","0.12","0.0","0.0",,"89","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-24","0.00","0.0","0.0",,"91","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-25","0.00","0.0","0.0",,"90","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-26","0.00","0.0","0.0",,"90","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-27","0.00","0.0","0.0",,"91","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-28","0.00","0.0","0.0",,"91","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-29","0.03","0.0","0.0",,"90","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.78805","-80.31694","1.4","1996-07-30","0.01","0.0","0.0",,"90","79"
